sample size,bubble sort,selection sort,insertion sort,merge sort,quicksort
2,2,1,2,1,2
4,6,6,5,6,8
8,42,28,18,23,30
16,180,120,80,69,93
32,775,496,329,187,262
64,3843,2016,1067,490,666
128,14859,8128,4353,1222,1641
256,56610,32640,15958,2943,3907
512,256011,130816,67049,6887,9061
1024,1012770,523776,265603,15826,20625
2048,4186115,2096128,1046361,35758,46631
4096,16633890,8386560,4141217,79727,103946
8192,66207853,33550336,16747068,175857,229799
16384,266453112,134209536,67322855,384430,504876
32768,1069580414,536854528,267853737,834341,1099766
65536,4261609980,2147450880,1075282533,1800043,2379886
131072,17127309712,8589869056,4301418048,3862484,5122906
262144,68662853847,34359607296,17213620632,8250031,10973565
