sample size,bubble sort,selection sort,insertion sort,merge sort,quicksort
10000,98750124,49995000,24610787,120482,177398
20000,396440177,199990000,99546523,381394,559754
30000,894930168,449985000,224501339,789991,1156949
40000,1577360565,799980000,400695278,1351763,1976054
50000,2498000039,1249975000,626410572,2069960,3022462
60000,3576360393,1799970000,903628221,2947115,4301202
70000,4858770588,2449965000,1227569477,3986034,5814589
80000,6340640741,3199960000,1607494577,5189579,7565779
90000,8067420361,4049955000,2028695561,6558957,9555762
100000,9958700412,4999950000,2503999272,8095285,11788040
